ID Posla;Vrsta kupoprodajnega posla;Datum uveljavitve;Datum sklenitve pogodbe;Pogodbena cena / Odškodnina;Vključenost DDV;Stopnja DDV;Datum izteka lizinga;Datum prenehanja lizinga;Opombe o pravnem poslu;Posredovanje nepremičninske agencije;Datum zadnje spremembe posla;Datum zadnje uveljavitve posla;Vrsta akta;Tržnost posla
-673075;1;24.01.2014;12.06.2013;95000;0;;;;;;23.07.2015;24.01.2014;1;4
-673073;1;24.01.2014;24.06.2013;24120;0;;;;;;23.07.2015;24.01.2014;1;4
-673058;1;24.01.2014;15.06.2013;940;0;;;;;;23.07.2015;24.01.2014;1;4
-673055;1;24.01.2014;26.06.2013;2605;0;;;;;;23.07.2015;24.01.2014;1;4
-673051;1;24.01.2014;04.06.2013;250000;0;;;;;;23.07.2015;24.01.2014;1;4
-673050;1;24.01.2014;26.06.2013;267;0;;;;;;23.07.2015;24.01.2014;1;4
-673028;1;24.01.2014;20.05.2013;65000;0;;;;;;23.07.2015;24.01.2014;1;4
-673016;1;24.01.2014;11.06.2013;141,2;0;;;;;;23.07.2015;24.01.2014;1;4
-673006;1;24.01.2014;27.06.2013;115000;0;;;;;;23.07.2015;24.01.2014;1;4
-672997;1;24.01.2014;19.06.2013;710,08;0;;;;;;23.07.2015;24.01.2014;1;4
-672991;1;24.01.2014;05.06.2013;2500;0;;;;;;23.07.2015;24.01.2014;1;4
-672981;1;24.01.2014;26.04.2013;5700;0;;;;;;23.07.2015;24.01.2014;1;4
-672980;1;24.01.2014;28.06.2013;9000;0;;;;;;23.07.2015;24.01.2014;1;4
-672974;1;24.01.2014;11.06.2013;12325;0;;;;;;23.07.2015;24.01.2014;1;4
-672973;1;24.01.2014;31.05.2013;558;0;;;;;;23.07.2015;24.01.2014;1;4
-672968;1;24.01.2014;05.04.2013;200;0;;;;;;23.07.2015;24.01.2014;1;4
-672962;1;24.01.2014;27.06.2013;1509;0;;;;;;23.07.2015;24.01.2014;1;4
-672955;1;24.01.2014;12.06.2013;76500;0;;;;;;23.07.2015;24.01.2014;1;4
-672942;1;24.01.2014;10.06.2013;60000;0;;;;;;23.07.2015;24.01.2014;1;4
-672940;1;24.01.2014;26.06.2013;1609,4;0;;;;;;23.07.2015;24.01.2014;1;4
-672932;1;24.01.2014;17.06.2013;91000;0;;;;;;23.07.2015;24.01.2014;1;4
-672924;1;24.01.2014;15.05.2013;11198;0;;;;;;23.07.2015;24.01.2014;1;4
-672913;1;24.01.2014;26.06.2013;4000;0;;;;;;23.07.2015;24.01.2014;1;4
-672911;1;24.01.2014;01.07.2013;216;0;;;;;;23.07.2015;24.01.2014;1;4
-672898;1;24.01.2014;17.06.2013;40400;0;;;;;;23.07.2015;24.01.2014;1;4
-672885;1;24.01.2014;18.06.2013;48000;0;;;;;;23.07.2015;24.01.2014;1;4
-672865;1;24.01.2014;26.06.2013;5000;0;;;;;;23.07.2015;24.01.2014;1;4
-672860;1;24.01.2014;17.06.2013;7500;0;;;;izdatek poravnave- v zameno za neupravičene obagitve za prehrano na podlagi pogodbe o dosmrtne preživljanju kupcema proda nepremičnini do 1/2;;23.07.2015;24.01.2014;1;4
-672854;1;24.01.2014;17.06.2013;91000;0;;;;;;23.07.2015;24.01.2014;1;4
-672848;1;24.01.2014;17.06.2013;39000;0;;;;;;23.07.2015;24.01.2014;1;4
-672847;1;24.01.2014;20.06.2013;30000;0;;;;;;23.07.2015;24.01.2014;1;4
-672844;1;24.01.2014;21.06.2013;126000;0;;;;;;23.07.2015;24.01.2014;1;4
-672841;1;24.01.2014;29.05.2013;11986;0;;;;;;23.07.2015;24.01.2014;1;4
-672840;1;24.01.2014;19.06.2013;55000;0;;;;;;23.07.2015;24.01.2014;1;4
-672837;1;24.01.2014;12.04.2013;6632,99;0;;;;;;23.07.2015;24.01.2014;1;4
-672829;1;24.01.2014;26.06.2013;20000;0;;;;;;23.07.2015;24.01.2014;1;4
-672825;1;24.01.2014;13.06.2013;148000;0;;;;;;23.07.2015;24.01.2014;1;4
-672817;1;24.01.2014;13.06.2013;1385,64;0;;;;;;23.07.2015;24.01.2014;1;4
-672802;1;24.01.2014;27.06.2013;200000;0;;;;;;23.07.2015;24.01.2014;1;4
-672799;1;24.01.2014;28.05.2013;102000;0;;;;;;23.07.2015;24.01.2014;1;4
-672792;1;24.01.2014;19.06.2013;4586,4;0;;;;;;23.07.2015;24.01.2014;1;4
-672780;1;24.01.2014;20.04.2013;210000;0;;;;;;23.07.2015;24.01.2014;1;4
-672777;1;24.01.2014;05.06.2013;2200;0;;;;;;23.07.2015;24.01.2014;1;4
-672774;1;24.01.2014;07.06.2013;391,66;0;;;;;;23.07.2015;24.01.2014;1;4
-672768;1;24.01.2014;30.05.2013;158200;0;;;;;;23.07.2015;24.01.2014;1;4
-672757;1;24.01.2014;18.06.2013;23000;0;;;;;;23.07.2015;24.01.2014;1;4
-672756;1;24.01.2014;01.06.2013;1368;0;;;;;;23.07.2015;24.01.2014;1;4
-672739;1;24.01.2014;17.06.2013;1000;0;;;;;;23.07.2015;24.01.2014;1;4
-672735;1;24.01.2014;29.05.2013;1000;0;;;;;;23.07.2015;24.01.2014;1;4
-672722;1;24.01.2014;12.06.2013;550;0;;;;;;23.07.2015;24.01.2014;1;4
-672719;1;24.01.2014;27.06.2013;80000;0;;;;;;23.07.2015;24.01.2014;1;4
-672714;1;24.01.2014;14.06.2013;27500;0;;;;;;23.07.2015;24.01.2014;1;4
-672707;1;24.01.2014;20.06.2013;2799;0;;;;;;23.07.2015;24.01.2014;1;4
-672705;1;24.01.2014;06.06.2013;73000;0;;;;;;23.07.2015;24.01.2014;1;4
-672698;1;24.01.2014;12.06.2013;35000;0;;;;;;23.07.2015;24.01.2014;1;4
-672682;1;24.01.2014;07.05.2013;10300;0;;;;;;23.07.2015;24.01.2014;1;4
-672677;1;24.01.2014;27.05.2013;12980;0;;;;;;23.07.2015;24.01.2014;1;4
-672669;1;24.01.2014;27.06.2013;65000;0;;;;;;23.07.2015;24.01.2014;1;4
-672668;1;24.01.2014;11.06.2013;200;0;;;;;;23.07.2015;24.01.2014;1;4
-672662;1;24.01.2014;29.05.2013;390;0;;;;;;23.07.2015;24.01.2014;1;4
-672644;1;24.01.2014;31.05.2013;12099;0;;;;;;23.07.2015;24.01.2014;1;4
-672639;1;24.01.2014;24.06.2013;93000;0;;;;;;23.07.2015;24.01.2014;1;4
-672636;1;24.01.2014;18.06.2013;180000;0;;;;;;23.07.2015;24.01.2014;1;4
-672630;2;24.01.2014;26.06.2013;3160;0;;;;;;23.07.2015;24.01.2014;1;4
-672627;1;24.01.2014;24.06.2013;262;0;;;;;;23.07.2015;24.01.2014;1;4
