ID Posla;Šifra KO;Ime KO;Občina;Številka stavbe;Številka dela stavbe;Parcelna številka za geolokacijo;Interna oznaka dela stavbe;Evidentiranost dela stavbe;Naselje;Ulica;Hišna številka;Dodatek HŠ;Številka stanovanja ali poslovnega prostora;Vrsta dela stavbe;Leto izgradnje dela stavbe;Stavba je dokončana;Gradbena faza;Novogradnja;Prodana površina;Prodani delež dela stavbe;Prodana površina dela stavbe;Prodana uporabna površina dela stavbe;Nadstropje dela stavbe;Število zunanjih parkirnih mest;Atrij;Površina atrija;Opombe o nepremičnini;Dejanska raba dela stavbe;Lega dela stavbe v stavbi;Število sob;Površina dela stavbe;Uporabna površina;Prostori dela stavbe;Pogodbena cena dela stavbe;Stopnja DDV dela stavbe
809690;1675;GRAHOVO;CERKNICA;296;1;;;1;;;;;;13;1965;1;;;27;3/367;;;;;0;;;58 - čebelnjak;pritličje;;27;27; kmetijski prostor;;
809725;659;TABOR;MARIBOR;5;30;;;1;MARIBOR;PLEČNIKOVA ULICA;8;;30;2;1966;1;;;61,9;1/1;;;;;0;;;2 - stanovanje;nadstropje;;61,9;48,6; bivalni prostor | klet | odprta terasa, balkon, loža;;
812795;1756;ČRNUČE;LJUBLJANA;411;2;;;1;LJUBLJANA;POLANŠKOVA ULICA;9;;2;2;1988;1;;;47,6;1/1;;;;;0;;;2 - stanovanje;pritličje;;47,6;43,9; bivalni prostor;;
812690;2508;SNEŽNIK;ILIRSKA BISTRICA;206;1;;;1;;;;;;14;2007;1;;;6,4;1/1;;;;;0;;;57 - drvarnica;pritličje;;6,4;6,4; kmetijski prostor;;
812397;394;GEREČJA VAS;HAJDINA;108;1;;;1;GEREČJA VAS;GEREČJA VAS;74;;;1;1968;1;;;307,6;1/1;;;;;0;;;1 - stanovanje v enostanovanjski stavbi;pritličje;;307,6;217,5; bivalni prostor | klet | odprta terasa, balkon, loža;;
812605;1911;KAMNIK;KAMNIK;580;23;;;1;KAMNIK;TUNJIŠKA CESTA;2;B;23;2;1972;1;;;59,6;1/1;;;;;0;;;2 - stanovanje;nadstropje;;59,6;52,2; bivalni prostor | klet | odprta terasa, balkon, loža;;
813400;1725;AJDOVŠČINA;LJUBLJANA;596;20;;;1;LJUBLJANA;ŽUPANČIČEVA ULICA;17;;19;2;2023;1;;1;72,4;1/1;;;;;0;;;2 - stanovanje;nadstropje;;72,4;66,4; bivalni prostor | zaprta terasa, balkon, loža;;
812467;1085;KOMPOLE;ŠTORE;193;1;;;1;;;;;;13;1990;1;;;22,2;1/1;;;;;0;;;28 - pomožni kmetijski del stavbe;pritličje;;34,8;34,8; kmetijski prostor;;
813360;1725;AJDOVŠČINA;LJUBLJANA;1516;20;;;1;;;;;;3;2022;1;;1;12,7;1/1;;;;;0;;;16 - garažno parkirno mesto;klet;;12,7;12,7; garažni parkirni prostor;;
809474;1166;ČAČA VAS;ROGAŠKA SLATINA;380;1;;;1;;;;;;13;2006;1;;;24,8;1/1;;;;;0;;;60 - zidanica;pritličje;;24,8;24,8; kmetijski prostor;;
